Phase,Match ID,Match date/time,Team A,Team B,Team A decimal odds,Team B decimal odds,Draw decimal odds,Team A goals,Team B goals,Team advanced
Group Matchday 1,WC26-001,2026-06-11 12:00 PM PT,mexico,south-africa,1.5,7.5,4.33,,,
Group Matchday 1,WC26-002,2026-06-11 07:00 PM PT,south-korea,czechia,2.75,2.75,3.2,,,
Group Matchday 1,WC26-003,2026-06-12 12:00 PM PT,canada,bosnia-herzegovina,1.83,4.4,3.8,,,
Group Matchday 1,WC26-004,2026-06-12 06:00 PM PT,united-states,paraguay,2.05,4.1,3.55,,,
Group Matchday 1,WC26-005,2026-06-13 12:00 PM PT,qatar,switzerland,11,1.3,5.75,,,
Group Matchday 1,WC26-006,2026-06-13 03:00 PM PT,brazil,morocco,1.62,5.9,4,,,
Group Matchday 1,WC26-007,2026-06-13 06:00 PM PT,haiti,scotland,7.5,1.44,4.9,,,
Group Matchday 1,WC26-008,2026-06-13 09:00 PM PT,australia,turkiye,4.8,1.82,3.75,,,
Group Matchday 1,WC26-009,2026-06-14 10:00 AM PT,germany,curacao,1.05,81,19,,,
Group Matchday 1,WC26-010,2026-06-14 01:00 PM PT,netherlands,japan,2,3.6,3.75,,,
Group Matchday 1,WC26-011,2026-06-14 04:00 PM PT,cote-divoire,ecuador,3.7,2.3,3,,,
Group Matchday 1,WC26-012,2026-06-14 07:00 PM PT,tunisia,sweden,4.2,1.95,3.45,,,
Group Matchday 1,WC26-013,2026-06-15 09:00 AM PT,spain,cape-verde,1.1,36,11,,,
Group Matchday 1,WC26-014,2026-06-15 12:00 PM PT,belgium,egypt,1.68,6,4,,,
Group Matchday 1,WC26-015,2026-06-15 03:00 PM PT,saudi-arabia,uruguay,7,1.51,4.4,,,
Group Matchday 1,WC26-016,2026-06-15 06:00 PM PT,iran,new-zealand,1.85,4.6,3.65,,,
Group Matchday 1,WC26-017,2026-06-16 12:00 PM PT,france,senegal,1.45,7.5,4.5,,,
Group Matchday 1,WC26-018,2026-06-16 03:00 PM PT,iraq,norway,15,1.28,6.25,,,
Group Matchday 1,WC26-019,2026-06-16 06:00 PM PT,argentina,algeria,1.43,9,4.75,,,
