Team,FIFA rank,Nickname,Star player,Star Player Position,Team Slug,Group,Flag Image,Emblem Image,Star Player Image
Algeria,28,The Fennec Foxes,Riyad Mahrez,Forward,algeria,J,flags/algeria-flag.png,emblems/algeria-emblem.png,players/algeria-player.png
Argentina,3,The White and Blue,Lionel Messi,Forward,argentina,J,flags/argentina-flag.png,emblems/argentina-emblem.png,players/argentina-player.png
Australia,27,The Socceroos,Mathew Ryan,Goalkeeper,australia,C,flags/australia-flag.png,emblems/australia-emblem.png,players/australia-player.png
Austria,24,The Wonderteam,David Alaba,Defender,austria,J,flags/austria-flag.png,emblems/austria-emblem.png,players/austria-player.png
Belgium,9,The Red Devils,Kevin De Bruyne,Midfielder,belgium,H,flags/belgium-flag.png,emblems/belgium-emblem.png,players/belgium-player.png
Bosnia & Herzegovina,65,The Dragons,Edin Džeko,Forward,bosnia-herzegovina,B,flags/bosnia-herzegovina-flag.png,emblems/bosnia-herzegovina-emblem.png,players/bosnia-herzegovina-player.png
Brazil,6,The Seleção,Vinícius Júnior,Forward,brazil,D,flags/brazil-flag.png,emblems/brazil-emblem.png,players/brazil-player.png
Côte d’Ivoire,34,Les Éléphants,Franck Kessié,Midfielder,cote-divoire,E,flags/cote-divoire-flag.png,emblems/cote-divoire-emblem.png,players/cote-divoire-player.png
Canada,30,The Canucks,Alphonso Davies,Defender,canada,B,flags/canada-flag.png,emblems/canada-emblem.png,players/canada-player.png
Cape Verde,69,The Blue Sharks,Ryan Mendes,Forward,cape-verde,G,flags/cape-verde-flag.png,emblems/cape-verde-emblem.png,players/cape-verde-player.png
Colombia,13,The Coffee Growers,Luis Díaz,Forward,colombia,K,flags/colombia-flag.png,emblems/colombia-emblem.png,players/colombia-player.png
Croatia,11,The Fiery Ones,Luka Modrić,Midfielder,croatia,L,flags/croatia-flag.png,emblems/croatia-emblem.png,players/croatia-player.png
Curaçao,82,The Blue Wave,Juninho Bacuna,Midfielder,curacao,E,flags/curacao-flag.png,emblems/curacao-emblem.png,players/curacao-player.png
Czechia,41,The Czech Lions,Patrik Schick,Forward,czechia,A,flags/czechia-flag.png,emblems/czechia-emblem.png,players/czechia-player.png
DR Congo,46,The Leopards,Yoane Wissa,Forward,dr-congo,K,flags/dr-congo-flag.png,emblems/dr-congo-emblem.png,players/dr-congo-player.png
Ecuador,23,La Tri,Moisés Caicedo,Midfielder,ecuador,E,flags/ecuador-flag.png,emblems/ecuador-emblem.png,players/ecuador-player.png
Egypt,29,The Pharaohs,Mohamed Salah,Forward,egypt,H,flags/egypt-flag.png,emblems/egypt-emblem.png,players/egypt-player.png
England,4,The Three Lions,Harry Kane,Forward,england,L,flags/england-flag.png,emblems/england-emblem.png,players/england-player.png
France,1,Les Bleus,Kylian Mbappé,Forward,france,I,flags/france-flag.png,emblems/france-emblem.png,players/france-player.png
Germany,10,The National Eleven,Jamal Musiala,Midfielder,germany,E,flags/germany-flag.png,emblems/germany-emblem.png,players/germany-player.png
Ghana,74,The Black Stars,Mohammed Kudus,Midfielder,ghana,L,flags/ghana-flag.png,emblems/ghana-emblem.png,players/ghana-player.png
Haiti,83,Les Grenadiers,Duckens Nazon,Forward,haiti,D,flags/haiti-flag.png,emblems/haiti-emblem.png,players/haiti-player.png
Iran,21,The Persian Stars,Mehdi Taremi,Forward,iran,H,flags/iran-flag.png,emblems/iran-emblem.png,players/iran-player.png
Iraq,57,The Mesopotamia Lions,Aymen Hussein,Forward,iraq,I,flags/iraq-flag.png,emblems/iraq-emblem.png,players/iraq-player.png
Japan,18,Samurai Blue,Kaoru Mitoma,Forward,japan,F,flags/japan-flag.png,emblems/japan-emblem.png,players/japan-player.png
Jordan,63,The Chivalrous Ones,Mousa Al-Taamari,Forward,jordan,J,flags/jordan-flag.png,emblems/jordan-emblem.png,players/jordan-player.png
